Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,xG_Favor_Local,xG_Contra_Local,xG_Favor_Visita,xG_Contra_Visita,Pts_Totales_Local,Pts_Totales_Visita,FTR,B365H,B365D,B365A
4,4,0,-1,1.4000000000000001,2.266666666666667,2.066666666666667,3.033333333333333,4,11,D,3.2,3.6,2.2
2,3,-2,-2,1.3333333333333333,3.6999999999999997,2.766666666666667,2.533333333333333,3,8,H,3.1,3.75,2.15
1,0,-3,-4,1.7666666666666664,3.0,1.7,2.15,7,1,H,2.05,3.6,3.4
7,1,3,-5,3.0999999999999996,2.783333333333333,1.4333333333333333,2.983333333333333,14,1,H,1.14,9.0,17.0
5,7,1,3,3.516666666666667,1.5999999999999999,2.75,1.4166666666666667,14,11,H,1.25,7.0,9.5
2,6,-1,3,2.066666666666667,1.7333333333333332,3.1166666666666667,1.7333333333333332,3,15,A,6.0,4.5,1.5
4,7,1,3,1.75,1.3166666666666667,1.5499999999999998,1.6500000000000001,7,14,D,2.2,2.9,3.9
1,1,-3,-3,1.3333333333333333,2.1333333333333333,1.5333333333333332,1.7333333333333334,3,10,A,3.1,3.5,2.25
3,2,-3,-3,1.8166666666666664,2.25,2.4333333333333336,2.3333333333333335,10,5,H,2.2,3.3,3.3
4,1,0,-5,2.4333333333333336,1.8333333333333333,1.5999999999999999,1.9666666666666666,7,5,H,1.45,4.75,6.5
4,4,0,0,2.0500000000000003,1.8166666666666667,1.55,2.183333333333333,11,11,H,1.3,5.0,11.0
0,9,-5,3,0.9833333333333334,4.1,2.1,1.7333333333333334,7,14,H,3.1,3.0,2.55
1,3,-2,0,1.0666666666666667,2.3333333333333335,1.4333333333333333,1.3666666666666665,5,10,A,3.1,3.0,2.5
7,6,4,-1,3.0833333333333335,1.4666666666666668,2.25,2.0833333333333335,18,17,H,1.27,6.25,8.5
2,6,-2,4,2.233333333333333,1.5166666666666666,3.5333333333333337,1.5999999999999999,9,10,H,2.9,4.0,2.2
9,4,6,0,2.1166666666666667,2.716666666666667,1.0333333333333332,1.7000000000000002,13,9,D,1.48,4.5,6.5
7,4,3,0,2.0500000000000003,1.6166666666666665,2.5666666666666664,2.4499999999999997,13,7,D,2.2,3.75,3.0
2,7,-2,4,1.1666666666666667,0.75,1.95,1.7333333333333334,9,14,H,2.35,3.3,3.1
3,6,-2,3,1.3166666666666667,1.9333333333333333,2.65,1.6166666666666665,10,21,A,5.25,4.5,1.57
4,4,0,0,1.8166666666666667,1.4166666666666667,3.1,1.2666666666666666,9,12,H,2.45,3.2,3.0
4,5,2,1,2.033333333333333,1.5666666666666667,1.5833333333333333,1.7,8,16,D,3.3,3.2,2.3
4,9,0,8,1.6666666666666667,2.0833333333333335,2.9166666666666665,1.7833333333333334,7,11,H,3.1,3.6,2.2
1,7,-3,4,0.8666666666666667,1.8999999999999997,2.5666666666666664,2.5833333333333335,3,9,D,4.2,3.4,1.91
6,5,1,2,2.783333333333333,1.9500000000000002,1.2166666666666666,1.3166666666666667,10,10,H,1.57,4.0,6.0
5,1,1,-2,1.8666666666666665,1.9166666666666667,2.5500000000000003,2.0166666666666666,7,5,D,1.8,3.7,4.33
5,3,3,-5,1.3,0.9833333333333333,1.7,1.95,12,5,D,1.38,5.0,8.0
0,0,-6,-3,1.1333333333333333,2.6333333333333333,1.3333333333333333,2.283333333333333,10,5,A,1.62,3.9,5.75
1,4,-4,-1,1.2666666666666666,2.733333333333333,1.0833333333333333,3.4499999999999997,1,6,A,2.3,3.5,3.0
5,6,3,1,2.0,0.9,2.7166666666666663,1.9500000000000002,13,13,H,2.05,3.3,3.8
6,3,3,-3,2.983333333333333,2.0833333333333335,1.5333333333333332,2.25,11,13,H,1.38,4.75,8.5
0,5,-9,1,0.7833333333333333,2.283333333333333,1.8499999999999999,1.7000000000000002,5,8,D,3.75,3.1,2.15
