Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2025-04-12,Leganes,Barcelona,0,1,A,8.5,6.0,1.3
2025-04-12,Sociedad,Mallorca,0,2,A,1.75,3.4,5.5
2025-04-12,Getafe,Las Palmas,1,3,A,1.75,3.3,5.5
2025-04-13,Betis,Villarreal,1,2,A,2.35,3.3,3.1
2025-04-13,Ath Bilbao,Vallecano,3,1,H,1.75,3.4,5.5
2025-04-13,Osasuna,Girona,2,1,H,2.45,3.2,3.1
2025-04-13,Alaves,Real Madrid,0,1,A,5.25,4.1,1.62
2025-04-14,Ath Madrid,Valladolid,4,2,H,1.14,8.0,19.0
2025-04-18,Espanol,Getafe,1,0,H,2.88,2.63,3.0
2025-04-19,Vallecano,Valencia,1,1,D,2.25,3.0,3.4
2025-04-19,Barcelona,Celta,4,3,H,1.3,5.75,8.0
2025-04-19,Mallorca,Leganes,0,0,D,1.85,3.1,5.0
2025-04-19,Las Palmas,Ath Madrid,1,0,H,5.75,4.2,1.55
2025-04-20,Valladolid,Osasuna,2,3,A,4.5,3.4,1.83
2025-04-20,Villarreal,Sociedad,2,2,D,1.7,3.7,5.0
2025-04-20,Sevilla,Alaves,1,1,D,2.0,3.1,4.2
2025-04-20,Real Madrid,Ath Bilbao,1,0,H,1.65,3.9,5.25
2025-04-21,Girona,Betis,1,3,A,2.88,3.3,2.45
2025-04-22,Valencia,Espanol,1,1,D,1.95,3.3,4.1
2025-04-22,Barcelona,Mallorca,1,0,H,1.2,7.0,13.0
2025-04-23,Ath Bilbao,Las Palmas,1,0,H,1.36,5.25,7.0
2025-04-23,Celta,Villarreal,3,0,H,2.5,3.4,2.8
2025-04-23,Alaves,Sociedad,1,0,H,2.35,3.0,3.4
2025-04-23,Getafe,Real Madrid,0,1,A,4.75,3.6,1.75
2025-04-24,Ath Madrid,Vallecano,3,0,H,1.53,4.0,6.5
2025-04-24,Betis,Valladolid,5,1,H,1.2,7.0,13.0
2025-04-24,Leganes,Girona,1,1,D,2.75,3.1,2.75
2025-04-24,Osasuna,Sevilla,1,0,H,2.5,3.0,3.2
2025-04-27,Villarreal,Espanol,1,0,H,1.44,5.0,6.25
2025-05-02,Vallecano,Getafe,1,0,H,2.38,3.0,3.4
2025-05-03,Alaves,Ath Madrid,0,0,D,3.7,3.1,2.15
2025-05-03,Villarreal,Osasuna,4,2,H,1.53,4.2,6.0
2025-05-03,Las Palmas,Valencia,2,3,A,2.63,3.3,2.7
2025-05-03,Valladolid,Barcelona,1,2,A,15.0,8.0,1.14
2025-05-04,Sociedad,Ath Bilbao,0,0,D,2.55,3.0,3.0
2025-05-04,Espanol,Betis,1,2,A,3.3,3.0,2.38
2025-05-04,Real Madrid,Celta,3,2,H,1.33,5.75,7.0
2025-05-04,Sevilla,Leganes,2,2,D,1.77,3.5,4.75
2025-05-05,Girona,Mallorca,1,0,H,2.0,3.1,4.2
2025-05-09,Las Palmas,Vallecano,0,1,A,2.45,3.25,3.0
2025-05-10,Valencia,Getafe,3,0,H,2.0,3.0,4.33
2025-05-10,Celta,Sevilla,3,2,H,1.8,3.6,4.5
2025-05-10,Girona,Villarreal,0,1,A,3.1,3.8,2.1
2025-05-10,Mallorca,Valladolid,2,1,H,1.33,5.25,9.0
2025-05-10,Ath Madrid,Sociedad,4,0,H,1.67,3.7,5.0
2025-05-11,Betis,Osasuna,1,1,D,1.62,3.75,5.75
2025-05-11,Ath Bilbao,Alaves,1,0,H,1.8,2.9,4.5
